x,y,hue,cat,location,name
21.815817,-25.407545,5,"Analytics, Banking, Financial Services, Information Technology",Bay Area,Fintel Labs
-23.564302,-36.02556,5,"Energy, Energy Management, Small and Medium Businesses, Virtual Assistant",Bay Area,pear.ai
-14.633803,-3.6253102,5,"Information Technology, SaaS, Software",Bay Area,"eKryp, Inc"
-5.8885665,-1.3818433,5,"Apps, Computer Vision, Facial Recognition, Mobile, Mobile Apps, Security, Software",Bay Area,miiCloud
3.1030884,-16.106815,5,"Big Data, Education, Information Technology, Machine Learning",Bay Area,Dataland
30.20441,24.745207,4,"Customer Service, Messaging, Natural Language Processing, Sales",New York,Stryng
9.305283,-45.471954,4,"Big Data, Commercial Real Estate, Data Visualization, Geospatial, Machine Learning, Predictive Analytics, Real Estate",New York,Foresite.ai
-26.769163,7.3675694,5,"Construction, Machine Learning, Predictive Analytics, Software",Bay Area,Bldbox
4.379876,27.415302,5,"CRM, Enterprise Software, Information Technology, Internet, Machine Learning, SaaS, Software",Bay Area,Vivun Inc
-10.656076,43.86481,5,"Digital Marketing, Marketing Automation, Marketplace, Software",Bay Area,Botmakers
-14.510699,-3.3192508,4,"Brand Marketing, Digital Marketing, Machine Learning, Social Media, Social Media Advertising, Social Media Marketing",New York,Smartfluence
23.234186,0.80125594,2,"SaaS, Sports",Los Angeles,Creative Bot
18.026325,3.6128433,4,"E-Commerce, Information Technology, Internet, Software",New York,Monir
20.757223,1.9658574,5,"Machine Learning, Sensor, Software",Bay Area,"Rokio, Inc."
-6.6759067,-1.2236974,5,"Big Data, Information Technology, Machine Learning, Robotics, Software",Bay Area,Archie.AI
-18.608103,-23.706903,5,"Information Technology, Mobile, Software",Bay Area,Traform
-24.163248,7.2914987,3,"Human Resources, Machine Learning, Natural Language Processing, Podcast",Boston,Emtropy Labs
-25.270533,6.7480836,5,"Information Technology, SaaS, Software",Bay Area,Odus
44.39858,14.453638,5,"Industrial Automation, Internet, Internet of Things, Natural Language Processing, Smart Home, Speech Recognition",Bay Area,Speak To IoT
-28.322392,8.878159,4,"Blockchain, Content Creators, Content Marketing, Digital Marketing, Digital Media, Outsourcing, Web Apps, Web Design, Web Development",New York,Iyanu
-6.104265,-1.4308052,5,"Automotive, Autonomous Vehicles, Computer Vision, Drones, Embedded Systems, Robotics",Bay Area,XOTAR
-8.405051,-3.4331079,2,"Clean Energy, Construction, Enterprise Software, Facilities Support Services, GreenTech, Home Services, Location Based Services, Machine Learning, Property Management, Rental Property, SaaS, Service Industry, Software",Los Angeles,Field Complete
-21.258589,-30.408558,0,"Cloud Data Services, Data Center, Information Technology, Machine Learning",Austin,Qoor
-3.9527476,2.1418,4,"Child Care, Elder Care, Housekeeping Service, Machine Learning, Marketplace, Service Industry, Wellness",New York,Apiari
-45.82257,-2.1569014,5,Health Care,Bay Area,Dosis
9.30909,-45.46974,5,"Big Data, Developer APIs, Developer Platform, Developer Tools, Gaming, Machine Learning, Mobile, Software, Software Engineering",Bay Area,Gyroscope Software
